year,inflation_adjusted_gross,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,mortality,fertility,income_per_cap
1970,356362241,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19.9,2.48,4591.218634
1971,91305448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.1,2.266,4891.985558
1975,131246872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,1.774,6564.002627
1977,363659174,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,14.5,1.79,7990.411096
1979,120377374,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13.2,1.808,9557.345962
1980,43560212,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.6,1.8395,10137.49007
1981,181636869,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12.1,1.812,11466.5913
1982,110731153,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,11.7,1.8275,12011.90249
1983,100549534,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,11.2,1.799,12787.3319
1984,178132661,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10.9,1.8065,14302.21636
1985,173124212,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,1,0,0,2,0,0,0,0,0,10.6,1.844,15181.70794
1986,577472408,1,0,0,1,0,1,2,0,0,2,0,0,0,2,0,4,0,0,1,0,0,0,0,0,10.4,1.8375,15896.70043
1987,1186649969,1,0,1,0,1,1,1,2,0,0,2,1,0,1,0,8,0,0,0,0,0,1,0,0,10.1,1.872,16818.74798
1988,986841867,0,1,1,1,0,2,1,1,1,0,3,1,2,2,0,4,0,0,3,0,0,0,1,0,10.0,1.934,18236.1839
1989,1097851241,1,0,1,1,0,2,1,1,0,2,1,1,0,3,0,3,0,0,5,0,0,0,0,0,9.7,2.014,19198.37424
1990,1226460745,0,2,1,2,1,2,1,2,0,1,2,1,2,2,0,7,0,0,1,0,0,2,1,0,9.4,2.081,19943.32727
1991,1221190032,1,1,1,2,3,1,1,0,2,1,2,1,2,2,0,5,0,0,4,0,1,1,1,0,9.1,2.0625,20350.98492
1992,1736349861,1,1,2,3,2,0,2,2,3,3,1,2,1,1,0,13,0,0,4,1,1,0,1,0,8.8,2.046,21268.8209
1993,1427312980,2,2,3,3,1,3,3,2,3,2,1,2,2,5,0,11,0,0,3,0,2,2,1,1,8.5,2.0195,21977.62957
